,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
31,CAS AA296 A1,42.3484255,-71.1078164,Rel & Hip Hop,Guillory,4,Independent,24,23,CAS,326,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,"Mts w/CAS RN296, Class Full",20229.0,2023-09-06,2023-12-11,,,,,,,,,,0,24,SOC,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
32,CAS AA114 D1,42.3484255,-71.1078164,Kongo to Cuba,Becker,0,Discussion,6,6,CAS,316,42.35083,-71.10515,,,Wed,09:05:00,09:55:00,"Mts w/CAS AH114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,6,STH,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
33,CAS AA304 A1,42.3484255,-71.1078164,Afam Womn Wrtrs,Boelcskevy,4,Independent,15,15,FLR,206,42.35015,-71.11169,,,"Tue,Thu",14:00:00,15:15:00,"Mts w/CAS EN370, Class Full",,2023-09-05,2023-12-12,,,,,,,,,,0,15,STO,AA,"138 Mountfort St, Brookline, MA 02446",808 Commonwealth Avenue
34,CAS AA207 A3,42.3484255,-71.1078164,Race&Ethnic Rel,Saleem,0,Discussion,13,13,CDS,263,42.3506,-71.10281,,,Fri,12:20:00,13:10:00,"Mts w/CAS SO207, Class Full",20229.0,2023-09-08,2023-12-08,,,,,,,,,,0,13,WED,AA,"138 Mountfort St, Brookline, MA 02446",645-655 Commonwealth Avenue
35,CAS AA114 B1,42.3484255,-71.1078164,Kongo to Cuba,Becker,0,Discussion,6,6,CAS,318,42.35083,-71.10515,,,Mon,15:35:00,16:25:00,"Mts w/CAS AH114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,6,YAW,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
36,CAS AA591 A1,42.3484255,-71.1078164,Black Thought,Chude-Sokei,4,Independent,6,10,FLR,206,42.35015,-71.11169,,,"Mon,Wed,Fri",13:25:00,14:15:00,Mts w/CAS EN537,20229.0,2023-09-06,2023-12-11,,,,,,,,,,0,6,,AA,"138 Mountfort St, Brookline, MA 02446",808 Commonwealth Avenue
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CAS AH111 B1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Mon,10:10:00,11:00:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
39,CAS AH111 B1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
40,CAS AH111 C1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Mon,11:15:00,12:05:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
41,CAS AH111 C1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
42,CAS AH111 D1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Mon,12:20:00,13:10:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
43,CAS AH111 D1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
44,CAS AH111 E1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Mon,13:25:00,14:15:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
45,CAS AH111 E1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
46,CAS AH111 F1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,310,42.35083,-71.10515,,,Tue,14:00:00,14:50:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
47,CAS AH111 F1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
48,CAS AH111 G1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Tue,17:00:00,17:50:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
49,CAS AH111 G1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
50,CAS AH111 H1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Wed,10:10:00,11:00:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
51,CAS AH111 H1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
52,CAS AH111 I1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,SAR,300,42.34981,-71.102,,,Wed,14:30:00,15:20:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,635 Commonwealth Avenue
53,CAS AH111 I1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
54,CAS AH111 J1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Wed,15:35:00,16:25:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
55,CAS AH111 J1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
56,CAS AH111 K1,42.3499108,-71.1065953,Anc to MED Art,Martin,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Mon,16:40:00,17:30:00,Class Full,20208.0,2023-09-05,2023-12-13,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
57,CAS AH111 K1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CAS AH114 A1,42.3499108,-71.1065953,Kongo to Cuba,Becker,4,Lecture,47,47,SCI,117,42.3489,-71.10016,,,"Mon,Wed,Fri",13:25:00,14:15:00,"Mts w/CAS AA114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,47,,AH,725 Commonwealth Avenue,590-596 Commonwealth Avenue
60,CAS AH114 A1,42.3499108,-71.1065953,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,AH,725 Commonwealth Avenue,
61,CAS AH114 B1,42.3499108,-71.1065953,Kongo to Cuba,Becker,0,Discussion,13,12,CAS,318,42.35083,-71.10515,,,Mon,15:35:00,16:25:00,"Mts w/CAS AA114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,13,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
62,CAS AH114 B1,42.3499108,-71.1065953,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,AH,725 Commonwealth Avenue,
63,CAS AH114 C1,42.3499108,-71.1065953,Kongo to Cuba,Becker,0,Discussion,12,12,CAS,318,42.35083,-71.10515,,,Mon,16:40:00,17:30:00,"Mts w/CAS AA114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,12,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
64,CAS AH114 C1,42.3499108,-71.1065953,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,AH,725 Commonwealth Avenue,
65,CAS AH114 D1,42.3499108,-71.1065953,Kongo to Cuba,Becker,0,Discussion,12,12,CAS,316,42.35083,-71.10515,,,Wed,09:05:00,09:55:00,"Mts w/CAS AA114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,12,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
66,CAS AH114 D1,42.3499108,-71.1065953,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,AH,725 Commonwealth Avenue,
67,CAS AH114 E1,42.3499108,-71.1065953,Kongo to Cuba,Becker,0,Discussion,11,11,IEC,B01,42.35106,-71.11525,,,Wed,10:10:00,11:00:00,"Mts w/CAS AA114, Class Full",,2023-09-05,2023-12-13,,,,,,,,,,0,11,,AH,725 Commonwealth Avenue,888 Commonwealth Avenue
68,CAS AH114 E1,42.3499108,-71.1065953,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,AH,725 Commonwealth Avenue,
69,CAS AH201 A1,42.3499108,-71.1065953,Understand Arch,Granston,4,Independent,Cancelled,Cancelled,,,,,,,"Tue,Thu",14:00:00,15:15:00,,20208.0,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,AH,725 Commonwealth Avenue,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CAS AH210 A1,42.3499108,-71.1065953,Learning to See,Ribner,4,Lecture,36,36,CAS,229,42.35083,-71.10515,,,"Mon,Wed,Fri",09:05:00,09:55:00,Class Full,20208.0,2023-09-06,2023-12-11,,,,,,,,,,0,36,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
