,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
1812,CAS EC102 A0,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,27,28,CAS,223,42.35083,-71.10515,,,Mon,10:10:00,11:00:00,Registering for this discussion group requires you to register for Lec AA only,20206.0,2023-09-11,2023-12-11,,,,,,,,,,1,26,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1813,CAS EC102 A1,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,CAS,223,42.35083,-71.10515,,,Mon,11:15:00,12:05:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-11,2023-12-11,,,,,,,,,,0,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1814,CAS EC102 A2,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,PSY,B41,42.34939,-71.10395,,,Mon,12:20:00,13:10:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-11,2023-12-11,,,,,,,,,,0,28,,EC,270 Bay State Road,64-72-86 Cummington Mall
1815,CAS EC102 A3,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,PSY,B43,42.34939,-71.10395,,,Tue,11:15:00,12:05:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-05,2023-12-12,,,,,,,,,,1,27,,EC,270 Bay State Road,64-72-86 Cummington Mall
1816,CAS EC102 A4,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,PSY,B41,42.34939,-71.10395,,,Thu,15:35:00,16:25:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-07,2023-12-07,,,,,,,,,,0,28,,EC,270 Bay State Road,64-72-86 Cummington Mall
1817,CAS EC102 A5,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,CAS,208,42.35083,-71.10515,,,Wed,11:15:00,12:05:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-06,2023-12-06,,,,,,,,,,0,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1818,CAS EC102 A6,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,27,28,CAS,213,42.35083,-71.10515,,,Wed,12:20:00,13:10:00,Registering for this Discussion requires you to register for LEC AA only,20206.0,2023-09-06,2023-12-06,,,,,,,,,,0,27,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1819,CAS EC102 A7,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,CAS,223,42.35083,-71.10515,,,Thu,11:15:00,12:05:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-07,2023-12-07,,,,,,,,,,0,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1820,CAS EC102 A8,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,PSY,B43,42.34939,-71.10395,,,Thu,15:35:00,16:25:00,"Registering for this Discussion requires you to register for LEC AA only, Class Full",20206.0,2023-09-07,2023-12-07,,,,,,,,,,0,28,,EC,270 Bay State Road,64-72-86 Cummington Mall
1821,CAS EC102 A9,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,17,28,PSY,B43,42.34939,-71.10395,,,Fri,10:10:00,11:00:00,Registering for this Discussion requires you to register for LEC AA only,20206.0,2023-09-08,2023-12-08,,,,,,,,,,0,17,,EC,270 Bay State Road,64-72-86 Cummington Mall
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,CAS EC102 BB,42.3505627,-71.1053996,Macroeconomics,Watson,4,Lecture,200,275,MOR,101,42.34915,-71.10092,,,"Mon,Wed,Fri",14:30:00,15:20:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,2,198,,EC,270 Bay State Road,602 Commonwealth Avenue
1824,CAS EC102 BC,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,14,28,PSY,B33,42.34939,-71.10395,,,Fri,12:20:00,13:10:00,Registering for,20206.0,2023-09-08,2023-12-08,,,,,,,,,,0,14,,EC,270 Bay State Road,64-72-86 Cummington Mall
1825,CAS EC102 B0,42.3505627,-71.1053996,Macroeconomics,Watson,4,Lecture,Cancelled,Cancelled,,,,,,,Fri,12:20:00,13:10:00,,20206.0,2023-09-08,2023-12-08,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1826,CAS EC102 B1,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,20,28,KCB,103,42.34962,-71.0981,,,Mon,12:20:00,13:10:00,Registering for this discussion requires you to register for LEC BB only,20206.0,2023-09-11,2023-12-11,,,,,,,,,,0,20,,EC,270 Bay State Road,565 Commonweatlh Avenue
1827,CAS EC102 B2,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,18,28,CAS,320,42.35083,-71.10515,,,Mon,13:25:00,14:15:00,Registering for this discussion requires you to register for LEC BB only,20206.0,2023-09-11,2023-12-11,,,,,,,,,,0,18,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1828,CAS EC102 B3,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,CAS,320,42.35083,-71.10515,,,Tue,11:15:00,12:05:00,"Registering for this discussion requires you to register for LEC BB only, Class Full",20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1829,CAS EC102 B4,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,28,28,CAS,223,42.35083,-71.10515,,,Tue,15:35:00,16:25:00,"Registering for this discussion requires you to register for LEC BB only, Class Full",20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1830,CAS EC102 B5,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,20,28,CAS,223,42.35083,-71.10515,,,Wed,09:05:00,09:55:00,Registering for this Discussion requires you to register for LEC BB only,20206.0,2023-09-06,2023-12-06,,,,,,,,,,0,20,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1831,CAS EC102 B6,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,20,28,CAS,223,42.35083,-71.10515,,,Wed,10:10:00,11:00:00,Registering for this discussion requires you to register for LEC BB only,20206.0,2023-09-06,2023-12-06,,,,,,,,,,0,20,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1832,CAS EC102 B7,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,21,28,PSY,B45,42.34939,-71.10395,,,Thu,11:15:00,12:05:00,Registering for this Discussion requires you to register for LEC BB only,20206.0,2023-09-07,2023-12-07,,,,,,,,,,0,21,,EC,270 Bay State Road,64-72-86 Cummington Mall
1833,CAS EC102 B8,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,16,28,CAS,223,42.35083,-71.10515,,,Thu,15:35:00,16:25:00,Registering for this discussion requires you to register for LEC BB only,20206.0,2023-09-07,2023-12-07,,,,,,,,,,0,16,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1834,CAS EC102 B9,42.3505627,-71.1053996,Macroeconomics,Watson,0,Discussion,16,28,CAS,320,42.35083,-71.10515,,,Fri,13:25:00,14:15:00,Registering for this Discussion requires you to register for LEC BB only,20206.0,2023-09-08,2023-12-08,,,,,,,,,,0,16,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,CAS EC201 A1,42.3505627,-71.1053996,Intermed Micro,Koskinen,4,Lecture,90,90,CAS,211,42.35083,-71.10515,,,"Mon,Wed,Fri",09:05:00,09:55:00,Class Full,,2023-09-06,2023-12-11,,,,,,,,,,0,90,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1837,CAS EC201 A2,42.3505627,-71.1053996,Intermed Micro,Koskinen,0,Discussion,30,30,CGS,315,42.35146,-71.11465,,,Mon,12:20:00,13:10:00,Class Full,,2023-09-11,2023-12-11,,,,,,,,,,0,30,,EC,270 Bay State Road,871 Commonwealth Avenue
1838,CAS EC201 A3,42.3505627,-71.1053996,Intermed Micro,Koskinen,0,Discussion,30,30,CAS,228,42.35083,-71.10515,,,Wed,13:25:00,14:15:00,Class Full,,2023-09-06,2023-12-06,,,,,,,,,,0,30,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1839,CAS EC201 A4,42.3505627,-71.1053996,Intermed Micro,Koskinen,0,Discussion,30,30,KCB,103,42.34962,-71.0981,,,Fri,12:20:00,13:10:00,Class Full,,2023-09-08,2023-12-08,,,,,,,,,,0,30,,EC,270 Bay State Road,565 Commonweatlh Avenue
1840,CAS EC201 C1,42.3505627,-71.1053996,Intermed Micro,Cati,4,Lecture,90,90,CAS,211,42.35083,-71.10515,,,"Mon,Wed,Fri",14:30:00,15:20:00,Class Full,,2023-09-06,2023-12-11,,,,,,,,,,1,89,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1841,CAS EC201 C2,42.3505627,-71.1053996,Intermed Micro,Cati,0,Discussion,31,30,CGS,113,42.35146,-71.11465,,,Mon,13:25:00,14:15:00,Class Full,,2023-09-11,2023-12-11,,,,,,,,,,0,31,,EC,270 Bay State Road,871 Commonwealth Avenue
1842,CAS EC201 C3,42.3505627,-71.1053996,Intermed Micro,Cati,0,Discussion,29,30,KCB,103,42.34962,-71.0981,,,Wed,12:20:00,13:10:00,,,2023-09-06,2023-12-06,,,,,,,,,,0,29,,EC,270 Bay State Road,565 Commonweatlh Avenue
1843,CAS EC201 C4,42.3505627,-71.1053996,Intermed Micro,Cati,0,Discussion,30,30,CAS,225,42.35083,-71.10515,,,Fri,13:25:00,14:15:00,Class Full,,2023-09-08,2023-12-08,,,,,,,,,,1,29,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1844,CAS EC201 D1,42.3505627,-71.1053996,Intermed Micro,Kafali,4,Lecture,35,35,CAS,227,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Full,,2023-09-05,2023-12-12,,,,,,,,,,0,35,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1845,CAS EC201 D2,42.3505627,-71.1053996,Intermed Micro,Kafali,0,Discussion,33,35,CAS,208,42.35083,-71.10515,,,Fri,13:25:00,14:15:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,33,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,CAS EC202 A1,42.3505627,-71.1053996,Intermed Macro,Fiszbein,4,Lecture,104,105,SAR,101,42.34981,-71.102,,,"Mon,Wed",08:30:00,09:45:00,,,2023-09-06,2023-12-11,,,,,,,,,,1,103,,EC,270 Bay State Road,635 Commonwealth Avenue
1848,CAS EC202 A2,42.3505627,-71.1053996,Intermed Macro,Fiszbein,0,Discussion,30,30,CAS,220,42.35083,-71.10515,,,Mon,10:10:00,11:00:00,Class Full,,2023-09-11,2023-12-11,,,,,,,,,,0,30,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1849,CAS EC202 A3,42.3505627,-71.1053996,Intermed Macro,Fiszbein,0,Discussion,30,30,KCB,103,42.34962,-71.0981,,,Wed,11:15:00,12:05:00,Class Full,,2023-09-06,2023-12-06,,,,,,,,,,0,30,,EC,270 Bay State Road,565 Commonweatlh Avenue
1850,CAS EC202 A4,42.3505627,-71.1053996,Intermed Macro,Fiszbein,0,Discussion,27,28,CAS,225,42.35083,-71.10515,,,Fri,10:10:00,11:00:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,27,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1851,CAS EC202 A5,42.3505627,-71.1053996,Intermed Macro,Fiszbein,0,Discussion,17,16,CAS,208,42.35083,-71.10515,,,Wed,13:25:00,14:15:00,Class Full,,2023-09-06,2023-12-06,,,,,,,,,,0,17,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1852,CAS EC202 C1,42.3505627,-71.1053996,Intermed Macro,Switala,4,Lecture,104,104,SHA,110,42.35157,-71.11749,,,"Tue,Thu",11:00:00,12:15:00,Class Full,,2023-09-05,2023-12-12,,,,,,,,,,0,104,,EC,270 Bay State Road,928 Commonwealth Avenue
1853,CAS EC202 C2,42.3505627,-71.1053996,Intermed Macro,Switala,0,Discussion,30,30,CGS,311,42.35146,-71.11465,,,Mon,11:15:00,12:05:00,Class Full,,2023-09-11,2023-12-11,,,,,,,,,,0,30,,EC,270 Bay State Road,871 Commonwealth Avenue
1854,CAS EC202 C3,42.3505627,-71.1053996,Intermed Macro,Switala,0,Discussion,29,29,CAS,228,42.35083,-71.10515,,,Wed,10:10:00,11:00:00,Class Full,,2023-09-06,2023-12-06,,,,,,,,,,0,29,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1855,CAS EC202 C4,42.3505627,-71.1053996,Intermed Macro,Switala,0,Discussion,30,30,CAS,225,42.35083,-71.10515,,,Fri,11:15:00,12:05:00,Class Full,,2023-09-08,2023-12-08,,,,,,,,,,0,30,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1856,CAS EC202 C5,42.3505627,-71.1053996,Intermed Macro,Switala,0,Discussion,15,15,CAS,325,42.35083,-71.10515,,,Fri,10:10:00,11:00:00,Class Full,,2023-09-08,2023-12-08,,,,,,,,,,0,15,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,CAS EC203 BB,42.3505627,-71.1053996,Empirical ECON1,Idson,4,Lecture,49,90,CGS,511,42.35146,-71.11465,,,"Mon,Wed,Fri",09:05:00,09:55:00,,,2023-09-06,2023-12-11,,,,,,,,,,0,49,,EC,270 Bay State Road,871 Commonwealth Avenue
1859,CAS EC203 B2,42.3505627,-71.1053996,Empirical ECON1,Idson,0,Discussion,18,30,CAS,225,42.35083,-71.10515,,,Fri,15:35:00,16:25:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,18,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1860,CAS EC203 B3,42.3505627,-71.1053996,Empirical ECON1,Idson,0,Discussion,Cancelled,Cancelled,,,,,,,Mon,13:25:00,14:15:00,,,2023-09-11,2023-12-11,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1861,CAS EC203 B4,42.3505627,-71.1053996,Empirical ECON1,Idson,0,Discussion,20,30,STH,B20,42.35073,-71.10766,,,Fri,12:20:00,13:10:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,20,,EC,270 Bay State Road,745 Commonwealth Avenue
1862,CAS EC203 B5,42.3505627,-71.1053996,Empirical ECON1,Idson,0,Discussion,11,30,CAS,229,42.35083,-71.10515,,,Thu,15:35:00,16:25:00,,,2023-09-07,2023-12-07,,,,,,,,,,0,11,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1863,CAS EC203 D1,42.3505627,-71.1053996,Empirical ECON1,Gelsheimer,4,Lecture,90,90,HAR,208,42.34975,-71.09974,,,"Tue,Thu",15:30:00,16:45:00,Class Full,,2023-09-05,2023-12-12,,,,,,,,,,0,90,,EC,270 Bay State Road,595 Commonwealth Avenue
1864,CAS EC203 D2,42.3505627,-71.1053996,Empirical ECON1,Gelsheimer,0,Discussion,29,30,KCB,103,42.34962,-71.0981,,,Fri,09:05:00,09:55:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,29,,EC,270 Bay State Road,565 Commonweatlh Avenue
1865,CAS EC203 D3,42.3505627,-71.1053996,Empirical ECON1,Gelsheimer,0,Discussion,30,30,CGS,521,42.35146,-71.11465,,,Wed,12:20:00,13:10:00,Class Full,,2023-09-06,2023-12-06,,,,,,,,,,0,30,,EC,270 Bay State Road,871 Commonwealth Avenue
1866,CAS EC203 D4,42.3505627,-71.1053996,Empirical ECON1,Gelsheimer,0,Discussion,31,30,KCB,103,42.34962,-71.0981,,,Thu,11:15:00,12:05:00,Class Full,,2023-09-07,2023-12-07,,,,,,,,,,0,31,,EC,270 Bay State Road,565 Commonweatlh Avenue
1867,CAS EC204 A1,42.3505627,-71.1053996,Empirical ECON2,Dey,4,Lecture,38,38,CAS,B06A,42.35083,-71.10515,,,"Mon,Wed,Fri",11:15:00,12:05:00,Class Full,20206.0,2023-09-06,2023-12-11,,,,,,,,,,0,38,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1868,CAS EC204 A1,42.3505627,-71.1053996,Empirical ECON2,Dey,,,,,CAS,B06B,42.35083,-71.10515,,,Thu,11:15:00,12:05:00,,,,,,,,,,,,,,0,38,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1869,CAS EC204 B1,42.3505627,-71.1053996,Empirical ECON2,Gelsheimer,4,Lecture,39,39,CAS,B06B,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,39,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1870,CAS EC204 B1,42.3505627,-71.1053996,Empirical ECON2,Gelsheimer,,,,,SOC,B63,42.34954,-71.10491,,,Fri,13:25:00,14:15:00,,,,,,,,,,,,,,0,39,,EC,270 Bay State Road,96-100 Cummington Mall
1871,CAS EC204 C1,42.3505627,-71.1053996,Empirical ECON2,Dey,4,Lecture,38,40,CAS,116,42.35083,-71.10515,,,"Mon,Wed,Fri",12:20:00,13:10:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,0,38,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1872,CAS EC204 C1,42.3505627,-71.1053996,Empirical ECON2,Dey,,,,,CAS,229,42.35083,-71.10515,,,Fri,14:30:00,15:20:00,,,,,,,,,,,,,,0,38,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1873,CAS EC204 D1,42.3505627,-71.1053996,Empirical ECON2,Gelsheimer,4,Lecture,35,35,CAS,222,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,35,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1874,CAS EC204 D1,42.3505627,-71.1053996,Empirical ECON2,Gelsheimer,,,,,EPC,206,42.35,-71.10783,,,Fri,15:35:00,16:25:00,,,,,,,,,,,,,,0,35,,EC,270 Bay State Road,750 Commonwealth Avenue
1875,CAS EC204 E1,42.3505627,-71.1053996,Empirical ECON2,Celik,4,Lecture,Cancelled,Cancelled,,,,,,,"Tue,Thu",09:30:00,10:45:00,,20206.0,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1876,CAS EC204 E1,42.3505627,-71.1053996,Empirical ECON2,Celik,,,,,,,,,,,Fri,09:05:00,09:55:00,,,,,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1877,CAS EC221 A1,42.3505627,-71.1053996,Inter Micro MA,Kafali,4,Independent,30,40,CAS,227,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,,,2023-09-05,2023-12-12,,,,,,,,,,0,30,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1878,CAS EC221 B1,42.3505627,-71.1053996,Inter Micro MA,Kafali,4,Independent,Cancelled,Cancelled,,,,,,,"Tue,Thu",12:30:00,13:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1879,CAS EC221 D1,42.3505627,-71.1053996,Inter Micro MA,Staff,4,Independent,Cancelled,Cancelled,,,,,,,"Tue,Thu",12:30:00,13:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1880,CAS EC221 D2,42.3505627,-71.1053996,Inter Micro MA,Staff,4,Independent,Cancelled,Cancelled,,,,,,,Fri,13:25:00,14:15:00,,,2023-09-08,2023-12-08,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1881,CAS EC222 A1,42.3505627,-71.1053996,Inter Macro MA,Blaum,4,Independent,14,40,CAS,237,42.35083,-71.10515,,,"Mon,Wed",14:30:00,15:45:00,,,2023-09-06,2023-12-11,,,,,,,,,,1,13,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1882,CAS EC222 B1,42.3505627,-71.1053996,Inter Macro MA,Staff,4,Independent,Cancelled,Cancelled,,,,,,,"Tue,Thu",11:00:00,12:15:00,,,2023-09-05,2023-12-12,,,,,,,,,,Cancelled,Cancelled,,EC,270 Bay State Road,
1883,CAS EC223 A1,42.3505627,-71.1053996,Stat Analysis,Kaido,4,Independent,9,40,CAS,227,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,0,9,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1884,CAS EC223 B1,42.3505627,-71.1053996,Stat Analysis,Gnedenko,4,Independent,26,30,SCI,115,42.3489,-71.10016,,,"Tue,Thu",12:30:00,13:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,0,26,,EC,270 Bay State Road,590-596 Commonwealth Avenue
1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,CAS EC224 A1,42.3505627,-71.1053996,Emanalysis,Bak,4,Lecture,9,30,CAS,235,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,1,8,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1887,CAS EC224 A2,42.3505627,-71.1053996,Emanalysis,Bak,0,Discussion,8,30,CAS,214,42.35083,-71.10515,,,Fri,13:25:00,14:15:00,,,2023-09-08,2023-12-08,,,,,,,,,,0,8,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1888,CAS EC320 A1,42.3505627,-71.1053996,Ec Less Dev Reg,Kandilov,4,Independent,60,60,KCB,106,42.34962,-71.0981,,,"Tue,Thu",15:30:00,16:45:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,60,,EC,270 Bay State Road,565 Commonweatlh Avenue
1889,CAS EC323 A1,42.3505627,-71.1053996,Behavioral Econ,Fisman,4,Independent,60,60,CAS,216,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,1,59,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1890,CAS EC323 B1,42.3505627,-71.1053996,Behavioral Econ,Fisman,4,Independent,60,60,EPC,209,42.35,-71.10783,,,"Tue,Thu",11:00:00,12:15:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,60,,EC,270 Bay State Road,750 Commonwealth Avenue
1891,CAS EC328 A1,42.3505627,-71.1053996,Urban & Reg Ec,Gnedenko,4,Independent,52,60,CAS,216,42.35083,-71.10515,,,"Tue,Thu",15:30:00,16:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,1,51,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1892,CAS EC332 A1,42.3505627,-71.1053996,Mkt Str&Ec Perf,Song,4,Independent,34,50,CAS,226,42.35083,-71.10515,,,"Mon,Wed,Fri",14:30:00,15:20:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,0,34,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1893,CAS EC337 A1,42.3505627,-71.1053996,Econ: Legal Iss,Koskinen,4,Independent,60,60,CAS,216,42.35083,-71.10515,,,"Mon,Wed,Fri",12:20:00,13:10:00,Class Full,,2023-09-06,2023-12-11,,,,,,,,,,0,60,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,CAS EC341 A1,42.3505627,-71.1053996,Monetry&Bank in,Porter,4,Independent,47,60,CAS,B20,42.35083,-71.10515,,,"Mon,Wed,Fri",09:05:00,09:55:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,1,46,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1896,CAS EC342 A1,42.3505627,-71.1053996,Monetry&Bank Th,Switala,4,Independent,12,30,SHA,210,42.35157,-71.11749,,,"Tue,Thu",12:30:00,13:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,0,12,,EC,270 Bay State Road,928 Commonwealth Avenue
1897,CAS EC356 A1,42.3505627,-71.1053996,Ec Labor Market,Dey,4,Independent,12,50,CAS,B36,42.35083,-71.10515,,,"Mon,Wed,Fri",10:10:00,11:00:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,0,12,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1898,CAS EC365 A1,42.3505627,-71.1053996,Tpcs Econ Hist,Feigenbaum,4,Independent,55,55,CAS,326,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,1,54,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1899,CAS EC365 B1,42.3505627,-71.1053996,Tpcs Econ Hist,Feigenbaum,4,Independent,55,55,CAS,B36,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,1,54,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1900,CAS EC368 A1,42.3505627,-71.1053996,Contemp E Asian,Grimes,4,Independent,41,45,EPC,209,42.35,-71.10783,,,"Mon,Wed,Fri",09:05:00,09:55:00,Mts w/CAS IR368,20206.0,2023-09-06,2023-12-11,,,,,,,,,,1,40,,EC,270 Bay State Road,750 Commonwealth Avenue
1901,CAS EC371 A1,42.3505627,-71.1053996,Environment Ec,Kandilov,4,Independent,63,60,CAS,313,42.35083,-71.10515,,,"Tue,Thu",14:00:00,15:15:00,Class Full,20206.0,2023-09-05,2023-12-12,,,,,,,,,,0,63,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1902,CAS EC385 A1,42.3505627,-71.1053996,Sports Econ,Idson,4,Independent,57,60,EPC,209,42.35,-71.10783,,,"Mon,Wed,Fri",11:15:00,12:05:00,,20206.0,2023-09-06,2023-12-11,,,,,,,,,,1,56,,EC,270 Bay State Road,750 Commonwealth Avenue
1903,CAS EC387 A1,42.3505627,-71.1053996,Intr to Hlth Ec,Ellis,4,Independent,31,50,CAS,203,42.35083,-71.10515,,,"Mon,Wed",10:10:00,11:25:00,,,2023-09-06,2023-12-11,,,,,,,,,,0,31,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1904,CAS EC390 A1,42.3505627,-71.1053996,Topics in Econ,Evrenk,4,Independent,34,60,HAR,406,42.34975,-71.09974,,,"Mon,Wed",16:30:00,17:45:00,,,2023-09-06,2023-12-11,,,,,,,,,,1,33,,EC,270 Bay State Road,595 Commonwealth Avenue
1905,CAS EC391 A1,42.3505627,-71.1053996,Int'L Trade,Garetto,4,Independent,29,55,CAS,326,42.35083,-71.10515,,,"Tue,Thu",09:30:00,10:45:00,,,2023-09-05,2023-12-12,,,,,,,,,,1,28,,EC,270 Bay State Road,685-725 Commonwealth Avenue
1906,CAS EC392 A1,42.3505627,-71.1053996,Internat Macro,Switala,4,Independent,15,60,EPC,209,42.35,-71.10783,,,"Tue,Thu",15:30:00,16:45:00,,20206.0,2023-09-05,2023-12-12,,,,,,,,,,2,13,,EC,270 Bay State Road,750 Commonwealth Avenue
